date,SPY,EFA,TLT,rf,SPY_price,EFA_price,TLT_price
2023-10-06,0.005218886445987003,0.008982269308108082,-0.02461756420286998,0.0010284615479982816,415.2779541015625,62.36442565917969,75.50139617919922
2023-10-13,0.004562888361022699,-0.0013132735438078358,0.03325869464585063,0.0010246153978201058,417.1728210449219,62.28252410888672,78.0124740600586
2023-10-20,-0.023893338358478955,-0.02718118893929622,-0.04987994915723826,0.0010192308059105506,407.2051696777344,60.5896110534668,74.1212158203125
2023-10-27,-0.02495312441098707,-0.010965987150072909,0.01357478824968994,0.0010201922746805045,397.04412841796875,59.92518615722656,75.12739562988281
2023-11-03,0.058463874354724776,0.05801975781060409,0.04220583566853908,0.0010101922658773568,420.2568664550781,63.40203094482422,78.29821014404297
2023-11-10,0.01361885943168728,-0.008039186876995341,0.00410807951862191,0.0010096153846153846,425.98028564453125,62.892330169677734,78.61986541748047
2023-11-17,0.023104523530499854,0.03979736089016894,0.023298126331228186,0.0010063461156991813,435.8223571777344,65.39527893066406,80.4515609741211
2023-11-24,0.010004602610162339,0.009881712514393737,-0.0026650679230535435,0.0010101922658773568,440.1825866699219,66.04149627685547,80.237152099609375
2023-12-01,0.00834621530663382,0.00854475138083255,0.038801944765939345,0.0010028846447284405,443.8564453125,66.605804443359375,83.35050964355469
2023-12-08,0.002395923403056832,-5.467256255214936e-4,0.016668500395151664,0.0010063461156991813,444.9198913574219,66.56938934326172,84.739837646484375
2023-12-15,0.023974056073971406,0.01640695886931276,0.05214134844449725,0.0010048076739678016,455.58642578125,67.661590576171875,89.15828704833984
2023-12-22,0.009204713404877163,0.017856039438284066,-0.006757312392313808,0.0010015384967510517,459.77996826171875,68.86975860595703,88.555816650390625
2023-12-29,0.0035045635656809626,0.008296317106531781,0.0040615349729840045,9.96153813142043e-4,461.39129638671875,69.44112396240234,88.91548919677734
2024-01-05,-0.015547722812617626,-0.015660331317355558,-0.02619292347196933,0.0010038461134983944,454.21771240234375,68.35365295410156,86.58653259277344
2024-01-12,0.018721085184797426,0.012134497865334604,0.0023882133073458434,9.996153758122372e-4,462.7211608886719,69.18309020996094,86.79331970214844
2024-01-19,0.01206269674017646,-0.015185875200678933,-0.025176126877103022,9.996153758122372e-4,468.3028259277344,68.13248443603516,84.60820007324219
2024-01-26,0.010322738221559824,0.015149501229583251,-0.0032945690648477077,9.999999633202186e-4,473.1369934082031,69.16465759277344,84.32945251464844
2024-02-02,0.014238552433078588,0.0013324067486253366,0.027714794679926102,0.0010019230842590332,479.873779296875,69.2568130493164,86.6666259765625
2024-02-09,0.013856526094559118,0.0019960057852110857,-0.023108185099996792,0.0010038461134983944,486.5231628417969,69.395050048828125,84.6639175415039
2024-02-16,-0.0033718907032200818,0.010225876970206382,-0.011614237957788709,0.0010044230864598202,484.8826599121094,70.10467529296875,83.68061065673828
2024-02-23,0.016696336721184757,0.017483751888176524,0.011966428356195769,0.0010076922636765699,492.9784240722656,71.33036804199219,84.68196868896484
2024-03-01,0.009845413963684546,0.00775203665170876,0.009553819631359595,0.0010028846447284405,497.8320007324219,71.8833236694336,85.49100494384766
2024-03-08,-0.0022032176994989383,0.01602555155859897,0.0133378525519261,0.0010053846469292274,496.73516845703125,73.03529357910156,86.63127136230469
2024-03-15,-5.980210871548985e-4,-0.0045425191702979095,-0.02914468723464181,0.0010073076761685886,496.4381103515625,72.70352935791016,84.10643005371094
2024-03-22,0.02232130452754122,0.009506687569003525,0.011190041943041074,0.0010038461134983944,507.5192565917969,73.39469909667969,85.0475845336914
2024-03-28,0.003568587172724902,0.002762580834283712,0.00681004474872382,0.0010005769362816444,509.33038330078125,73.59745788574219,85.62676239013672
2024-04-05,-0.008870720439110524,-0.011144483954186435,-0.030941336086422577,0.0010028846447284405,504.812255859375,72.777252197265625,82.97735595703125
2024-04-12,-0.01462118013590874,-0.021906980352361716,-0.012036309645965693,0.001005769234437209,497.4313049316406,71.18292236328125,81.9786148071289
2024-04-19,-0.030713451042952644,-0.014500291958661093,-0.012625846885943703,0.0010086538241459774,482.1534729003906,70.15074920654297,80.94356536865234
2024-04-26,0.026456078011520168,0.024172469675519892,-0.01020751811948517,0.0010073076761685886,494.90936279296875,71.846466064453125,80.1173324584961
2024-05-03,0.005961575340734049,0.012313715745678522,0.021699169966229448,0.0010067307949066162,497.85980224609375,72.73116302490234,81.8558120727539
2024-05-10,0.018678216756661703,0.017993040819492823,0.0031165984170946626,0.0010082692366379957,507.158935546875,74.0398178100586,82.11092376708984
2024-05-17,0.0165308909591817,0.016181280795486863,0.014092525275162915,0.0010076922636765699,515.542724609375,75.23787689208984,83.26807403564453
2024-05-24,-1.8587246165657767e-5,-0.007226834566756546,-1.0958288593865273e-4,0.0010086538241459774,515.53314208984375,74.69414520263672,83.25894927978516
2024-05-31,-0.003910024217145702,0.001603932704487221,-0.010177022330509766,0.0010086538241459774,513.51739501953125,74.81394958496094,82.41162109375
2024-06-07,0.012590763690934148,0.001108605392568185,0.015064818490452048,0.0010073076761685886,519.98297119140625,74.89688873291016,83.65313720703125
2024-06-14,0.01642310298576155,-0.02561423506540006,0.0346450900462798,0.0010076922636765699,528.522705078125,72.97846221923828,86.55130767822266
2024-06-21,0.006423602048937882,0.0015416970669284158,-0.007499788663234752,0.0010028846447284405,531.917724609375,73.090972900390625,85.902191162109375
2024-06-28,-5.327632777735181e-4,0.004875064977902355,-0.023201293997569317,0.0010024999655210054,531.63433837890625,73.447296142578125,83.909149169921875
2024-07-05,0.019146878688522273,0.022468952570738443,0.011706070299159599,0.0010048076739678016,541.8134765625,75.09757995605469,84.89139556884766
2024-07-12,0.009645748057467651,0.018604131384236222,0.014909383893155992,9.996153758122372e-4,547.0396728515625,76.49470520019531,86.157073974609375
2024-07-19,-0.019643192261972864,-0.025128875876019863,-0.01085808808814126,9.986538153428299e-4,536.2940673828125,74.572479248046875,85.22157287597656
2024-07-26,-0.008288035406472716,-0.001508640357572144,7.534358051386469e-4,9.913461941939135e-4,531.8492431640625,74.45997619628906,85.28578186035156
2024-08-02,-0.021195760572460864,-0.030348933739004935,0.060410993240821886,9.673077326554519e-4,520.5762939453125,72.2001953125,90.43798065185547
2024-08-09,1.6859883115749597e-4,0.00493489460051677,-0.02055342690545303,9.759615017817571e-4,520.6640625,72.5564956665039,88.57917022705078
2024-08-16,0.04000077368894894,0.038123683968402045,0.012258479555434132,9.759615017817571e-4,541.49102783203125,75.32261657714844,89.6650161743164
2024-08-23,0.014107639394940419,0.030997035659799277,0.009749609723760155,9.615384615384616e-4,549.13018798828125,77.65739440917969,90.539215087890625
2024-08-30,0.002757379195991838,0.0019320719423188137,-0.01931136659870314,9.553846029134896e-4,550.64434814453125,77.80743408203125,88.79077911376953
2024-09-06,-0.04137087709190124,-0.038322474088031244,0.03517516133591858,9.438461523789626e-4,527.86370849609375,74.8256607055664,91.91400909423828
2024-09-13,0.040065819361673416,0.02167911677015333,0.008537560076474993,9.159615406623254e-4,549.01300048828125,76.44781494140625,92.69873046875
2024-09-20,0.014204401119773946,0.00895374209294686,-0.015237681527756508,8.74038476210374e-4,556.8114013671875,77.13230895996094,91.28621673583984
2024-09-27,0.005666353677895808,0.020179851681809247,-0.003134959461572606,8.619230527144213e-4,559.96649169921875,78.68882751464844,91.00003814697266
2024-10-04,0.0026424354223029134,-0.016325053311540105,-0.027505548705405447,8.663461758540227e-4,561.4461669921875,77.40422821044922,88.49703216552734
2024-10-11,0.011518758994444322,-0.003028329627430937,-0.019361897422497165,8.682692050933839e-4,567.913330078125,77.1698226928711,86.78356170654297
2024-10-18,0.008644133518874053,-0.0043742819311458625,0.0018146101568410344,8.678846175854023e-4,572.82244873046875,76.83226013183594,86.9410400390625
2024-10-25,-0.009493855328267964,-0.025140314965665267,-0.018429848319552522,8.6730773632343e-4,567.3841552734375,74.90067291259766,85.33872985839844
2024-11-01,-0.013816124789721829,-0.006259408695659219,-0.010781351386676907,8.461538644937369e-4,559.54510498046875,74.43183898925781,84.41866302490234
2024-11-08,0.04754500829934849,-0.0027714425995266634,0.01816406675401172,8.505768959338848e-4,586.148681640625,74.225555419921875,85.9520492553711
2024-11-15,-0.020796046424934378,-0.025644338533103217,-0.026057023193960305,8.44807716516348e-4,573.9591064453125,72.32209014892578,83.71239471435547
2024-11-22,0.016662296067971205,0.005574930314689697,0.0034414684692460895,8.490384542025052e-4,583.5225830078125,72.72528076171875,84.00048828125
2024-11-29,0.011821743657244088,0.018179552189578008,0.03960613661332424,8.409615663381724e-4,590.42083740234375,74.047393798828125,87.327423095703125
2024-12-06,0.008729559397340436,0.014055992762896263,0.007955405209423505,8.25961553133451e-4,595.574951171875,75.08820343017578,88.02214813232422
2024-12-13,-0.005922790764406272,-0.014860249903449141,-0.04491984607409105,8.111538336827204e-4,592.0474853515625,73.97237396240234,84.068206787109375
2024-12-20,-0.018322067820702115,-0.0350701604328596,-0.016602250587803513,8.105769524207483e-4,581.199951171875,71.3781509399414,82.6724853515625
2024-12-27,0.006529565087719735,0.013448625898478506,-0.013701766548099403,8.034615333263691e-4,584.99493408203125,72.33808898925781,81.53972625732422
2025-01-03,-0.005142752033296949,-0.005649740157093297,0.0021814115924332356,8.063461230351375e-4,581.9864501953125,71.92939758300781,81.71759796142578
2025-01-10,-0.019359921369786592,-0.00819236035906079,-0.020964459626087062,8.101922732133131e-4,570.71923828125,71.34012603759766,80.00443267822266
2025-01-17,0.029440796931640367,0.022915093031072642,0.020243190641997977,8.063461230351375e-4,587.52166748046875,72.97489166259766,81.62397766113281
2025-01-24,0.017386742406337863,0.031909264696734274,3.44250070429597e-4,8.086538314819337e-4,597.73675537109375,75.303466796875,81.6520767211914
2025-01-31,-0.010115569604135177,1.2613756836765688e-4,0.006191285406754954,8.053846542651836e-4,591.6903076171875,75.3129653930664,82.15760803222656
2025-02-07,-0.0017445385689296433,0.0046694391820589765,0.02083509385932869,8.130769546215351e-4,590.6580810546875,75.66463470458984,83.86936950683594
2025-02-14,0.01486410214705658,0.029142078433962437,-0.0013441371296413207,8.101922732133131e-4,599.43768310546875,77.869659423828125,83.75663757324219
2025-02-21,-0.016007739186719494,-0.004760186907756703,0.005159794683075036,8.071153897505541e-4,589.842041015625,77.49898529052734,84.18880462646484
2025-02-28,-0.009600917717890733,4.906503253068184e-4,0.03146972825503336,8.063461230351375e-4,584.17901611328125,77.5370101928711,86.83820343017578
2025-03-07,-0.03073160502838257,0.03493500054265852,-0.022031606413497995,8.071153897505541e-4,566.22625732421875,80.24576568603516,84.925018310546875
2025-03-14,-0.022763483783801552,-0.00852778382298569,6.656010820667024e-4,8.053846542651836e-4,553.33697509765625,79.56144714355469,84.9815444946289
2025-03-21,0.005093276731319651,-5.97222283487242e-4,0.005877794906246292,8.048076813037578e-4,556.1552734375,79.51393127441406,85.481048583984375
2025-03-28,-0.014752446431362087,-0.014343915064694568,-0.006173950203549161,8.053846542651836e-4,547.95062255859375,78.3733901977539,84.95329284667969
2025-04-04,-0.09066681681777011,-0.0902255397560705,0.03376641827865612,7.99038501886221e-4,498.2696838378906,71.30210876464844,87.82186126708984
2025-04-11,0.05672100979825134,0.05265260745304534,-0.06418980405416153,8.101922732133131e-4,526.53204345703125,75.05635070800781,82.1845932006836
