date,adjusted_close,daily_return
2020-09-28,15.145999908447266,0.036474371821779004
2020-09-29,14.968999862670898,-0.01168625688936194
2020-09-30,15.055999755859375,0.0058120044082192466
2020-10-01,14.895999908447266,-0.010626982598737218
2020-10-02,14.645999908447266,-0.016783029104224773
2020-10-05,14.821000099182129,0.011948668020537793
2020-10-06,15.003999710083008,0.012347318647611197
2020-10-07,15.309000015258789,0.020327933289069216
2020-10-08,16.393999099731445,0.0708732826044298
2020-10-09,16.472999572753906,0.004818865277585325
2020-10-12,16.645999908447266,0.010502054281571119
2020-10-13,16.607999801635742,-0.0022828371392841175
2020-10-14,16.423999786376953,-0.011078999124305546
2020-10-15,16.597000122070312,0.010533386382338862
2020-10-16,16.469999313354492,-0.007652033968894025
2020-10-19,16.413999557495117,-0.003400106751308016
2020-10-20,16.906999588012695,0.030035338358009138
2020-10-21,18.104999542236328,0.0708582234232165
2020-10-22,18.30500030517578,0.01104671460901617
2020-10-23,18.43000030517578,0.0068287352043723245
2020-10-26,17.5,-0.05046122028085941
2020-10-27,17.558000564575195,0.0033143179757254464
2020-10-28,16.21500015258789,-0.07648937058909348
2020-10-29,16.195999145507812,-0.0011718166451602278
2020-10-30,16.707000732421875,0.031551099893444734
2020-11-02,16.656999588012695,-0.002992825894365747
2020-11-03,17.19499969482422,0.032298740476568076
2020-11-04,17.253000259399414,0.0033731064614472644
2020-11-05,18.167999267578125,0.053034196627929714
2020-11-06,18.562000274658203,0.021686538031911767
2020-11-09,18.500999450683594,-0.0032863281473975
2020-11-10,18.61400032043457,0.0061078251503218816
2020-11-11,19.215999603271484,0.03234120943771744
2020-11-12,18.694000244140625,-0.02716482982451717
2020-11-13,19.226999282836914,0.028511770179491157
2020-11-16,20.39299964904785,0.06064390751040252
2020-11-17,20.81999969482422,0.020938559953160386
2020-11-18,21.29599952697754,0.022862624357850123
2020-11-19,21.711000442504883,0.01948727107180976
2020-11-20,22.211000442504883,0.023029800092542997
2020-11-23,22.076000213623047,-0.0060780796088539925
2020-11-24,24.722999572753906,0.11990393791975969
2020-11-25,27.027000427246094,0.0931926098899149
